OBJECTID_12,PLOT,Exposure,transect,site_combined,site_individual,SCH_p,SCH_D,TYP_P,TYP_D,LATITUDE,LONGITUDE,cost_small,Fetch_projected,water_depth,slope_USE,speed_limit
61,7,Exposed,LIWS,A,B,0,0,0,0,46.093277,-84.006682,2.919804573,1610.709595,93,-0.150303002,14
62,8,Exposed,LIWS,A,B,0,0,0,0,46.093297,-84.006732,2.919804573,1762.98877,84,-1.510115879,14
63,9,Exposed,LIWS,A,B,0,0,0,0,46.093329,-84.006791,2.914118528,1762.98877,81,-1.510115879,14
64,10,Exposed,LIWS,A,B,0,0,0,0,46.093349,-84.006848,2.914118528,1762.98877,101,-1.510115879,14
347,11,Exposed,LIWS,A,B,0,0,0,0,46.09337301,-84.00689989,2.91142416,1813.793457,115,-1.510115879,14
348,12,Exposed,LIWS,A,B,0,0,0,0,46.09339966,-84.00695431,2.905720711,1813.793457,115,-1.510115879,14
349,13,Exposed,LIWS,A,B,0,0,0,0,46.09341794,-84.00701069,2.905720711,1813.793457,115,-1.510115879,14
350,14,Exposed,LIWS,A,B,0,0,0,0,46.09344564,-84.00706505,2.90003252,2007.449585,143,-0.831468101,14
351,15,Exposed,LIWS,A,B,0,0,0,0,46.09347433,-84.00711785,2.897342443,2007.449585,143,-0.831468101,14
65,1,Exposed,KPES,B,C,0,0,0,0,46.23592503,-84.18182999,15.2629509,1878.023438,0,-5.2,10
66,2,Exposed,KPES,B,C,0,0,0,0,46.23593702,-84.18177903,15.2629509,1878.023438,26,-5.2,10
67,3,Exposed,KPES,B,C,0,0,0,0,46.23595596,-84.18171197,8.984558105,1901.088135,42,-3.2,10
68,4,Exposed,KPES,B,C,0,0,0,0,46.23596803,-84.18165003,8.984558105,1901.088135,65,-4.6,10
69,5,Exposed,KPES,B,C,0,0,0,0,46.23597901,-84.18159798,8.984558105,1901.088135,61,0.8,10
70,6,Exposed,KPES,B,C,0,0,0,0,46.23599502,-84.18152598,2.706163883,1589.16748,65,-0.8,10
71,7,Exposed,KPES,B,C,0,0,0,0,46.236006,-84.18146202,2.706163883,1589.16748,72,-1.4,10
72,8,Exposed,KPES,B,C,0,0,0,0,46.23601497,-84.18139899,2.706163883,1589.16748,90,-3.6,10
73,9,Exposed,KPES,B,C,0,0,0,0,46.23601899,-84.18133403,2.698649645,1970.024902,116,-5.2,10
74,10,Exposed,KPES,B,C,0,0,0,0,46.23603299,-84.18127301,2.698649645,1970.024902,117,-0.2,10
75,11,Exposed,KPES,B,C,0,0,0,0,46.236049,-84.18121702,2.69248724,1970.024902,119,-0.4,10
296,12,Exposed,KPES,B,C,0,0,0,0,46.23606459,-84.18115746,2.69248724,1970.024902,151,-0.4,10
297,13,Exposed,KPES,B,C,0,0,0,0,46.23607782,-84.18109775,2.69248724,1970.024902,151,-0.4,10
298,14,Exposed,KPES,B,C,0,0,0,0,46.23609105,-84.18103804,2.686331749,1970.024902,151,-0.4,10
299,15,Exposed,KPES,B,C,0,0,0,0,46.23610308,-84.18097234,2.686331749,1970.024902,151,-0.4,10
76,1,Exposed,KPEC,B,C,0,0,0,0,46.236336,-84.18176503,15.23377895,1229.953979,0,0,10
77,2,Exposed,KPEC,B,C,0,0,0,0,46.23634497,-84.18171398,15.23377895,1229.953979,43,-8.6,10
78,3,Exposed,KPEC,B,C,0,0,0,0,46.23635301,-84.18164399,8.981004715,1432.781738,49,-1.2,10
