,OBJECTID_1,OBJECTID,PLOT,Exposure,SITE,GPS,GPS_ID,water_depth,SCH_P,SCH_D,TYP_P,TYP_D,LAT,LONGITUDE,fetch,REI_projected,cost_distance,slope,speed_limit,SL_MJ
69,69,70,4,Exposed,KPES,Gray,4,65,0,0,0,0,46.23596803,-84.18165003,1386.911987,6180.929199,8.984558105,-2.38,10,249.805954
70,70,71,5,Exposed,KPES,Gray,5,61,0,0,0,0,46.23597901,-84.18159798,1386.911987,6180.929199,8.984558105,-2.38,10,249.805954
71,71,72,6,Exposed,KPES,Gray,6,65,0,0,0,0,46.23599502,-84.18152598,1386.911987,6180.929199,2.706163883,-2.38,10,249.805954
72,72,73,7,Exposed,KPES,Gray,7,72,0,0,0,0,46.236006,-84.18146202,1386.911987,6180.929199,2.706163883,-2.38,10,249.805954
73,73,74,8,Exposed,KPES,Gray,8,90,0,0,0,0,46.23601497,-84.18139899,1755.577026,7934.778809,2.706163883,-2.38,10,249.805954
74,74,75,9,Exposed,KPES,Gray,9,116,0,0,0,0,46.23601899,-84.18133403,1755.577026,7934.778809,2.698649645,-2.38,10,249.805954
75,75,76,10,Exposed,KPES,Gray,10,117,0,0,0,0,46.23603299,-84.18127301,1755.577026,7934.778809,2.698649645,-2.38,10,249.805954
76,76,77,11,Exposed,KPES,Gray,11,119,0,0,0,0,46.236049,-84.18121702,1755.577026,7934.778809,2.69248724,-2.38,10,249.805954
77,77,78,1,Exposed,KPEC,Gray,12,0,0,0,0,0,46.236336,-84.18176503,1229.953979,5378.62207,15.23377895,-3.05,10,249.805954
78,78,79,2,Exposed,KPEC,Gray,13,43,0,0,0,0,46.23634497,-84.18171398,1229.953979,5378.62207,15.23377895,-3.05,10,249.805954
79,79,80,3,Exposed,KPEC,Gray,14,49,0,0,0,0,46.23635301,-84.18164399,1229.953979,5378.62207,8.981004715,-3.05,10,249.805954
80,80,81,4,Exposed,KPEC,Gray,15,51,0,0,0,0,46.23636399,-84.18157702,1229.953979,5378.62207,8.955802917,-3.05,10,249.805954
81,81,82,5,Exposed,KPEC,Gray,16,60,0,0,0,0,46.23637598,-84.18151299,1229.953979,5378.62207,2.701867819,-3.05,10,249.805954
82,82,83,6,Exposed,KPEC,Gray,17,66,0,0,0,0,46.23638101,-84.18144803,1229.953979,5378.62207,2.701867819,-3.05,10,249.805954
83,83,84,7,Exposed,KPEC,Gray,18,80,0,0,0,0,46.23639702,-84.18139396,1683.219971,7614.142578,2.701867819,-3.05,10,249.805954
84,84,85,8,Exposed,KPEC,Gray,19,110,0,0,0,0,46.23639903,-84.181329,1683.219971,7614.142578,2.695617199,-3.05,10,249.805954
85,85,86,9,Exposed,KPEC,Gray,20,122,0,0,0,0,46.23641403,-84.18126999,1453.865967,6496.171875,2.695617199,-3.05,10,249.805954
86,86,87,1,Exposed,KPEN,Green,20,0,0,0,0,0,46.23677102,-84.18172496,1050.965942,4553.262695,2.770339012,-2.925,10,249.805954
87,87,88,2,Exposed,KPEN,Green,21,68,0,0,0,0,46.23677102,-84.18165699,1050.965942,4553.262695,2.707555056,-2.925,10,249.805954
88,88,89,3,Exposed,KPEN,Green,22,60,0,0,0,0,46.23677001,-84.18159102,1050.965942,4553.262695,2.707555056,-2.925,10,249.805954
89,89,90,4,Exposed,KPEN,Green,23,62,0,0,0,0,46.23678099,-84.18152397,1050.965942,4553.262695,2.707555056,-2.925,10,249.805954
90,90,91,5,Exposed,KPEN,Green,24,75,0,0,0,0,46.23680698,-84.18147502,1050.965942,4553.262695,2.701276779,-2.925,10,249.805954
91,91,92,6,Exposed,KPEN,Green,25,92,0,0,0,0,46.23681402,-84.18141701,1050.965942,4553.262695,2.701867819,-2.925,10,249.805954
92,92,93,7,Exposed,KPEN,Green,26,106,0,0,0,0,46.23682399,-84.18135096,1318.545044,5842.562988,2.695617199,-2.925,10,249.805954
