,OBJECTID_1,OBJECTID,PLOT,Exposure,SITE,GPS,GPS_ID,water_depth,SCH_p,SCH_D,TYP_P,TYP_D,ORG_DEP,LATITUDE,LONGITUDE,Slope,tot_Slope,avg_slope,Fetch_projected,REI_projected,lake_huron,NLCD,Euc_d,Cost_d,cost_sug,Cost_avg,water_depth1,F2013_NCMP_MI_Huron_46084b2c_BareEarth_1mGrid,new_slope,be_stmarys_01,be_stmarys_02_1_,be_stmarys_03,be_stmarys_04,be_stmarys_05,be_stmarys_06,be_stmarys_078,slope_rise_run,slope_riseRun1,slope_rise_run_1,slope_riseRun1_1,small_cost,cost_small,Field,slope_USE,Field1,inside1_small_backwards,F1,site_id,crew_name,date,year,transect_num,point_num,bottom_vis,substrate_type,org_depth_cm,
24,24,25,5,Unexposed,LIEW,Gray,139,43,0,0,0,0,0,46.09501,-84.001607,-1.3,-0.8125,-0.76471,1048.453979,4061.697754,13,11,1169.713867,399.6131897,818534.5625,787951.4,176.7967023,-0.0076471,0.653053999,NA,NA,NA,NA,NA,NA,NA,NA,0.765034854,NA,0.765034854,1.317932367,3.163192272,NA,0.765034854,NA,,,,,,,,,,,,25.69949913
25,25,26,6,Unexposed,LIEW,Gray,140,50,0,0,0,0,0,46.095092,-84.001607,-0.7,-0.8125,-0.76471,1048.453979,4061.697754,13,11,1169.713867,387.4864807,796303.875,787951.4,176.7890552,-0.0076471,0.653053999,NA,NA,NA,NA,NA,NA,NA,NA,0.765034854,NA,0.765034854,1.307302833,3.157905102,NA,0.765034854,NA,,,,,,,,,,,,2.519386292
26,26,27,7,Unexposed,LIEW,Gray,141,58,0,0,0,0,0,46.095187,-84.001615,-0.8,-0.8125,-0.76471,1173.19397,4592.887695,13,11,1169.713867,387.4864807,783431.1875,787951.4,176.7814081,-0.0076471,0.475295007,NA,NA,NA,NA,NA,NA,NA,NA,0.51464504,NA,0.51464504,1.296783686,3.149121046,NA,0.51464504,NA,,,,,,,,,,,,2.489954948
27,27,28,8,Unexposed,LIEW,Gray,142,54,1,3,0,0,0,46.09527,-84.001611,0.4,-0.8125,-0.76471,1173.19397,4592.887695,13,11,1169.713867,10331.85352,770832.625,787951.4,176.773761,-0.0076471,0.475295007,NA,NA,NA,NA,NA,NA,NA,NA,0.51464504,NA,0.51464504,1.286380529,3.143859625,NA,0.51464504,NA,,,,,,,,,,,,2.4625175
28,28,29,9,Unexposed,LIEW,Gray,143,68,1,6,0,0,0,46.095356,-84.001613,-1.4,-0.8125,-0.76471,1173.19397,4592.887695,13,11,1169.713867,39527.67578,770832.625,787951.4,176.0120087,-0.0076471,0.475295007,NA,NA,NA,NA,NA,NA,NA,NA,0.51464504,NA,0.51464504,1.286380529,3.143859625,NA,0.51464504,NA,,,,,,,,,,,,2.30641222
29,29,30,10,Unexposed,LIEW,Gray,144,85,1,3,0,0,0,46.09544,-84.001619,-1.7,-0.8125,-0.76471,1324.206055,5187.068848,13,11,1169.713867,39527.67578,770521.6875,787951.4,176.8670044,-0.0076471,0.475295007,NA,NA,NA,NA,NA,NA,NA,NA,0.51464504,NA,0.51464504,1.276098609,3.138656378,NA,0.51464504,NA,,,,,,,,,,,,2.25264883
30,30,31,11,Unexposed,LIEW,Gray,145,85,0,0,0,0,0,46.095521,-84.001579,0,-0.8125,-0.76471,1324.206055,5187.068848,13,11,1169.713867,27036.24219,760924.875,787951.4,176.4570007,-0.0076471,0.46509999,NA,NA,NA,NA,NA,NA,NA,NA,0.501816213,NA,0.501816213,1.265942693,3.137312889,NA,0.501816213,NA,,,,,,,,,,,,2.186602354
31,31,32,12,Unexposed,LIEW,Gray,146,101,0,0,0,0,0,46.095605,-84.001533,-1.6,-0.8125,-0.76471,1324.206055,5187.068848,13,11,1169.713867,14537.99609,751609.5,787951.4,176.7653351,-0.0076471,0.46509999,NA,NA,NA,NA,NA,NA,NA,NA,0.501816213,NA,0.501816213,1.268211961,3.133404732,NA,0.501816213,NA,,,,,,,,,,,,193.4814606
32,32,33,13,Unexposed,LIEW,Gray,147,116,0,0,0,0,0,46.09569,-84.001512,-1.5,-0.8125,-0.76471,1388.572998,5441.412598,13,11,1169.713867,14462.23145,751609.5,787951.4,176.3619995,-0.0076471,0.46509999,NA,NA,NA,NA,NA,NA,NA,NA,0.501816213,NA,0.501816213,1.268211961,3.133404732,NA,0.501816213,NA,,,,,,,,,,,,181.0259247
33,33,34,14,Unexposed,LIEW,Gray,148,120,1,2,0,0,0,46.095784,-84.001496,-0.4,-0.8125,-0.76471,1388.572998,5441.412598,13,11,1169.713867,1972.331421,742586.4375,787951.4,176.0319977,-0.0076471,0.476595014,NA,NA,NA,NA,NA,NA,NA,NA,0.516290069,NA,0.516290069,1.260703206,3.129569054,NA,0.516290069,NA,,,,,,,,,,,,118.3962479
